name,ring,quadrant,isNew,description
.Net Blazor,Assess,Languages & Frameworks,TRUE,<p>New Web frontend framework using C#</p>
.NET Core,Adopt,Languages & Frameworks,TRUE,<p></p>
Adobe Creative Cloud,Adopt,Tools & Infrastructure,FALSE,<p></p>
AdobeTarget,Adopt,Tools & Infrastructure,FALSE,<p></p>
Adverity,Adopt,Data Management,FALSE,<p></p>
Airflow,Assess,Languages & Frameworks,TRUE,<p></p>
Alert Logic,Adopt,Tools & Infrastructure,FALSE,<p></p>
Ansible,Adopt,Tools & Infrastructure,FALSE,<p>Recommend using Ansible sparingly and only for it's correct purpose. Use Terraform where possible</p>
AppDynamics,Adopt,Tools & Infrastructure,FALSE,<p>Observability tool</p>
AppsFlyer,Adopt,Tools & Infrastructure,FALSE,<p></p>
Auth0 (OAuth),Adopt,Languages & Frameworks,FALSE,<p></p>
AWS cloud9,Adopt,Tools & Infrastructure,FALSE,<p>IDE</p>
AWS DynamoDB,Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS ECS (Elastic Container Service),Hold,Tools & Infrastructure,FALSE,<p>Use EKS instead</p>
AWS EKS (Elastic Kubernetes Service),Adopt,Tools & Infrastructure,TRUE,<p></p>
AWS Elastic Container Registry,Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS Kafka,Assess,Tools & Infrastructure,TRUE,<p></p>
AWS Kinesis,Assess,Data Management,TRUE,<p></p>
AWS Lambda,Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS RDS (Relational Database Service),Adopt,Data Management,FALSE,<p></p>
AWS S3,Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS Sagemaker,Hold,Languages & Frameworks,FALSE,<p>Use KubeFlow instead</p>
AWS Secrets Manager,Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS Serverless Application Model,Trial,Languages & Frameworks,TRUE,<p></p>
AWS SNS (Simple Notification Service),Adopt,Tools & Infrastructure,FALSE,<p></p>
AWS SQS (Simple Queue Service),Adopt,Tools & Infrastructure,FALSE,<p></p>
Azure Bot Framework,Adopt,Languages & Frameworks,TRUE,<p></p>
Azure DevOps,Adopt,Tools & Infrastructure,FALSE,<p>Build system</p>
Bash,Adopt,Languages & Frameworks,FALSE,<p></p>
BigQuery,Adopt,Data Management,FALSE,<p></p>
Bit bucket,Hold,Tools & Infrastructure,FALSE,<p>Used sparingly to hold Terraform to enable Ensono. Don't use for other use-cases</p>
